target,best_result
-112692,-112692
-113359,-112692
-114628,-112692
-120594,-112692
-114930,-112692
-110123,-110123
-109458,-109458
-116268,-109458
-113454,-109458
-112353,-109458
-112911,-109458
-116215,-109458
-109827,-109458
-114849,-109458
-111836,-109458
-108135,-108135
-107130,-107130
-116593,-107130
-110267,-107130
-112378,-107130
-119937,-107130
-111139,-107130
-108913,-107130
-111659,-107130
-117642,-107130
-106375,-106375
-109739,-106375
-117492,-106375
-107597,-106375
-109616,-106375
-108549,-106375
-107585,-106375
-113478,-106375
-111322,-106375
-112360,-106375
-110018,-106375
-113353,-106375
-110419,-106375
-109555,-106375
-111545,-106375
-110848,-106375
-120020,-106375
-114049,-106375
-113233,-106375
-109317,-106375
-114150,-106375
-108885,-106375
-113910,-106375
-115187,-106375
-109391,-106375
-113802,-106375
-111131,-106375
-117301,-106375
-111584,-106375
-115991,-106375
-113418,-106375
-110020,-106375
-111879,-106375
-114648,-106375
-109418,-106375
-109844,-106375
-109129,-106375
-111079,-106375
-111441,-106375
-110790,-106375
-113973,-106375
-106324,-106324
-113343,-106324
-107957,-106324
-117596,-106324
-109963,-106324
-107456,-106324
-106890,-106324
-111756,-106324
-112897,-106324
-108797,-106324
-116295,-106324
-113948,-106324
-110002,-106324
-106163,-106163
-108894,-106163
-105286,-105286
-111946,-105286
-114319,-105286
-111266,-105286
-113703,-105286
-112383,-105286
-104416,-104416
-112345,-104416
-107105,-104416
-106746,-104416
-110321,-104416
-110586,-104416
-113900,-104416
-113454,-104416
-108380,-104416
-104630,-104416
-112793,-104416
-108661,-104416
-110649,-104416
-117755,-104416
-109174,-104416
-117148,-104416
-111512,-104416
-112027,-104416
-112476,-104416
-113735,-104416
-112375,-104416
-105472,-104416
-108261,-104416
-108125,-104416
-111174,-104416
-113023,-104416
-105889,-104416
-108519,-104416
-111656,-104416
-106804,-104416
-115869,-104416
-108587,-104416
-114800,-104416
-106314,-104416
-113860,-104416
-114939,-104416
-113269,-104416
-107444,-104416
-114127,-104416
-105969,-104416
-115906,-104416
-108334,-104416
-114213,-104416
-112915,-104416
-112419,-104416
-115675,-104416
-103152,-103152
-113043,-103152
-110749,-103152
-109696,-103152
-106457,-103152
-107045,-103152
-107415,-103152
-111956,-103152
-104166,-103152
-110689,-103152
-109493,-103152
-109657,-103152
-111802,-103152
-109048,-103152
-111602,-103152
-110940,-103152
-109615,-103152
-109815,-103152
-107439,-103152
-108915,-103152
-110556,-103152
-109523,-103152
-105374,-103152
-107016,-103152
-110351,-103152
-115130,-103152
-108521,-103152
-112434,-103152
-108796,-103152
-111175,-103152
-109159,-103152
-107033,-103152
-110972,-103152
-106063,-103152
-110664,-103152
-112576,-103152
-105471,-103152
-110019,-103152
-108134,-103152
-110664,-103152
-111195,-103152
-110400,-103152
-109789,-103152
-107693,-103152
-109564,-103152
-110229,-103152
-103918,-103152
-108191,-103152
-112713,-103152
-112900,-103152
-112184,-103152
-106781,-103152
-111228,-103152
-107780,-103152
-110530,-103152
-107854,-103152
-110736,-103152
-110577,-103152
-107147,-103152
-107346,-103152
-108144,-103152
-108797,-103152
-114209,-103152
-109919,-103152
-110667,-103152
-110238,-103152
-108221,-103152
